Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,29,00,0000,State - KARNATAKA  29,Total,All ages,52850562,26898918,25951644,11314196,6199480,5114716,10337693,5561318,4776375,776258,504200,272058,147466,98604,48862,37609,27287,10322,15170,8071,7099
C3010,29,00,0000,State - KARNATAKA  29,Total,0-4,4942594,2537476,2405118,84756,44033,40723,84756,44033,40723,0,0,0,0,0,0,0,0,0,0,0,0
C3010,29,00,0000,State - KARNATAKA  29,Total,5,1138754,588059,550695,118872,61790,57082,118872,61790,57082,0,0,0,0,0,0,0,0,0,0,0,0
C3010,29,00,0000,State - KARNATAKA  29,Total,6,1100752,565423,535329,462054,240146,221908,462054,240146,221908,0,0,0,0,0,0,0,0,0,0,0,0
C3010,29,00,0000,State - KARNATAKA  29,Total,7,1023407,521358,502049,836708,432287,404421,836708,432287,404421,0,0,0,0,0,0,0,0,0,0,0,0
C3010,29,00,0000,State - KARNATAKA  29,Total,8,1288401,648505,639896,1104063,565715,538348,1104063,565715,538348,0,0,0,0,0,0,0,0,0,0,0,0
C3010,29,00,0000,State - KARNATAKA  29,Total,9,1130117,570132,559985,1018321,521758,496563,1018321,521758,496563,0,0,0,0,0,0,0,0,0,0,0,0
C3010,29,00,0000,State - KARNATAKA  29,Total,10,1462506,746246,716260,1216480,637393,579087,1216480,637393,579087,0,0,0,0,0,0,0,0,0,0,0,0
C3010,29,00,0000,State - KARNATAKA  29,Total,11,1016642,518871,497771,885140,463556,421584,885140,463556,421584,0,0,0,0,0,0,0,0,0,0,0,0
C3010,29,00,0000,State - KARNATAKA  29,Total,12,1426809,728762,698047,1073403,572400,501003,1073403,572400,501003,0,0,0,0,0,0,0,0,0,0,0,0
C3010,29,00,0000,State - KARNATAKA  29,Total,13,1089999,556516,533483,831183,446697,384486,831183,446697,384486,0,0,0,0,0,0,0,0,0,0,0,0
C3010,29,00,0000,State - KARNATAKA  29,Total,14,1225620,638838,586782,819720,457830,361890,819720,457830,361890,0,0,0,0,0,0,0,0,0,0,0,0
C3010,29,00,0000,State - KARNATAKA  29,Total,15-19,5381672,2840330,2541342,2136118,1250449,885669,1759020,1027907,731113,308316,179629,128687,56230,34678,21552,11704,7802,3902,848,433,415
