Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,03,00,0000,State - PUNJAB  03,Total,All ages,24358999,12985045,11373954,5811218,3192103,2619115,5404412,2986112,2418300,332917,164003,168914,38968,24352,14616,25939,14139,11800,8982,3497,5485
C3010,03,00,0000,State - PUNJAB  03,Total,0-4,2128738,1186499,942239,84560,47934,36626,84560,47934,36626,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Total,5,534806,300142,234664,133391,77137,56254,133391,77137,56254,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Total,6,508285,277160,231125,241140,134376,106764,241140,134376,106764,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Total,7,510806,278813,231993,408693,226955,181738,408693,226955,181738,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Total,8,612014,335118,276896,519394,288574,230820,519394,288574,230820,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Total,9,491457,267731,223726,441459,243170,198289,441459,243170,198289,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Total,10,688107,378175,309932,592739,329544,263195,592739,329544,263195,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Total,11,469071,254374,214697,421515,230820,190695,421515,230820,190695,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Total,12,631912,341074,290838,533017,291145,241872,533017,291145,241872,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Total,13,503385,261931,241454,421207,222374,198833,421207,222374,198833,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Total,14,539295,287345,251950,418421,227146,191275,418421,227146,191275,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Total,15-19,2555933,1393473,1162460,1275061,698373,576688,1116263,622164,494099,132825,61311,71514,14506,9088,5418,11068,5598,5470,399,212,187
C3010,03,00,0000,State - PUNJAB  03,Total,20-24,2339151,1255974,1083177,279997,151684,128313,72613,44773,27840,182537,92129,90408,14367,9236,5131,9514,5059,4455,966,487,479
C3010,03,00,0000,State - PUNJAB  03,Total,25-29,1945622,1012264,933358,18945,11618,7327,0,0,0,10066,6112,3954,4428,2908,1520,3353,2167,1186,1098,431,667
C3010,03,00,0000,State - PUNJAB  03,Total,30-34,1769154,889759,879395,5349,2911,2438,0,0,0,2092,1222,870,1338,783,555,740,511,229,1179,395,784
C3010,03,00,0000,State - PUNJAB  03,Total,35-59,5845668,3101181,2744487,11407,5708,5699,0,0,0,3296,2059,1237,2920,1607,1313,846,577,269,4345,1465,2880
C3010,03,00,0000,State - PUNJAB  03,Total,60+,2191693,1111691,1080002,4110,2205,1905,0,0,0,1564,890,674,1246,630,616,348,201,147,952,484,468
C3010,03,00,0000,State - PUNJAB  03,Total,Age not stated,93902,52341,41561,813,429,384,0,0,0,537,280,257,163,100,63,70,26,44,43,23,20
C3010,03,00,0000,State - PUNJAB  03,Rural,All ages,16096488,8516596,7579892,3673107,2036137,1636970,3512087,1951585,1560502,126621,65785,60836,15650,9825,5825,11476,6345,5131,7273,2597,4676
C3010,03,00,0000,State - PUNJAB  03,Rural,0-4,1461660,815187,646473,38465,21805,16660,38465,21805,16660,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Rural,5,365778,204805,160973,74115,42982,31133,74115,42982,31133,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Rural,6,349288,189864,159424,158314,88040,70274,158314,88040,70274,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Rural,7,348530,189763,158767,275846,153018,122828,275846,153018,122828,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Rural,8,416563,226894,189669,352453,195089,157364,352453,195089,157364,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Rural,9,341752,185187,156565,306828,168341,138487,306828,168341,138487,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Rural,10,463052,252491,210561,397712,220127,177585,397712,220127,177585,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Rural,11,317689,170975,146714,284653,155347,129306,284653,155347,129306,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Rural,12,421358,225743,195615,352094,192295,159799,352094,192295,159799,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Rural,13,336285,174195,162090,276928,147029,129899,276928,147029,129899,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Rural,14,360300,190957,169343,271623,148982,122641,271623,148982,122641,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Rural,15-19,1662364,898343,764021,743253,422963,320290,679668,391183,288485,52953,25639,27314,5178,3352,1826,5213,2667,2546,241,122,119
C3010,03,00,0000,State - PUNJAB  03,Rural,20-24,1497720,794494,703226,121253,69822,51431,43388,27347,16041,67477,36132,31345,5564,3700,1864,4164,2326,1838,660,317,343
C3010,03,00,0000,State - PUNJAB  03,Rural,25-29,1238921,634986,603935,7489,4591,2898,0,0,0,3678,2346,1332,1720,1129,591,1228,803,425,863,313,550
C3010,03,00,0000,State - PUNJAB  03,Rural,30-34,1142457,564590,577867,2596,1272,1324,0,0,0,706,456,250,631,341,290,252,172,80,1007,303,704
C3010,03,00,0000,State - PUNJAB  03,Rural,35-59,3733769,1960668,1773101,6923,3088,3835,0,0,0,1084,789,295,1680,879,801,401,259,142,3758,1161,2597
C3010,03,00,0000,State - PUNJAB  03,Rural,60+,1580959,805530,775429,2262,1195,1067,0,0,0,554,335,219,808,386,422,185,109,76,715,365,350
C3010,03,00,0000,State - PUNJAB  03,Rural,Age not stated,58043,31924,26119,300,151,149,0,0,0,169,88,81,69,38,31,33,9,24,29,16,13
C3010,03,00,0000,State - PUNJAB  03,Urban,All ages,8262511,4468449,3794062,2138111,1155966,982145,1892325,1034527,857798,206296,98218,108078,23318,14527,8791,14463,7794,6669,1709,900,809
C3010,03,00,0000,State - PUNJAB  03,Urban,0-4,667078,371312,295766,46095,26129,19966,46095,26129,19966,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Urban,5,169028,95337,73691,59276,34155,25121,59276,34155,25121,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Urban,6,158997,87296,71701,82826,46336,36490,82826,46336,36490,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Urban,7,162276,89050,73226,132847,73937,58910,132847,73937,58910,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Urban,8,195451,108224,87227,166941,93485,73456,166941,93485,73456,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Urban,9,149705,82544,67161,134631,74829,59802,134631,74829,59802,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Urban,10,225055,125684,99371,195027,109417,85610,195027,109417,85610,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Urban,11,151382,83399,67983,136862,75473,61389,136862,75473,61389,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Urban,12,210554,115331,95223,180923,98850,82073,180923,98850,82073,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Urban,13,167100,87736,79364,144279,75345,68934,144279,75345,68934,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Urban,14,178995,96388,82607,146798,78164,68634,146798,78164,68634,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,00,0000,State - PUNJAB  03,Urban,15-19,893569,495130,398439,531808,275410,256398,436595,230981,205614,79872,35672,44200,9328,5736,3592,5855,2931,2924,158,90,68
C3010,03,00,0000,State - PUNJAB  03,Urban,20-24,841431,461480,379951,158744,81862,76882,29225,17426,11799,115060,55997,59063,8803,5536,3267,5350,2733,2617,306,170,136
C3010,03,00,0000,State - PUNJAB  03,Urban,25-29,706701,377278,329423,11456,7027,4429,0,0,0,6388,3766,2622,2708,1779,929,2125,1364,761,235,118,117
C3010,03,00,0000,State - PUNJAB  03,Urban,30-34,626697,325169,301528,2753,1639,1114,0,0,0,1386,766,620,707,442,265,488,339,149,172,92,80
C3010,03,00,0000,State - PUNJAB  03,Urban,35-59,2111899,1140513,971386,4484,2620,1864,0,0,0,2212,1270,942,1240,728,512,445,318,127,587,304,283
C3010,03,00,0000,State - PUNJAB  03,Urban,60+,610734,306161,304573,1848,1010,838,0,0,0,1010,555,455,438,244,194,163,92,71,237,119,118
C3010,03,00,0000,State - PUNJAB  03,Urban,Age not stated,35859,20417,15442,513,278,235,0,0,0,368,192,176,94,62,32,37,17,20,14,7,7
C3010,03,01,0000,District - Gurdaspur  01,Total,All ages,2104011,1113077,990934,522028,285123,236905,489722,268869,220853,26596,12687,13909,3732,2500,1232,1444,865,579,534,202,332
C3010,03,01,0000,District - Gurdaspur  01,Total,0-4,188524,105612,82912,7772,4413,3359,7772,4413,3359,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,01,0000,District - Gurdaspur  01,Total,5,46643,26360,20283,12151,7104,5047,12151,7104,5047,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,01,0000,District - Gurdaspur  01,Total,6,44982,24630,20352,21043,11630,9413,21043,11630,9413,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,01,0000,District - Gurdaspur  01,Total,7,43792,23890,19902,36162,19927,16235,36162,19927,16235,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,01,0000,District - Gurdaspur  01,Total,8,53835,29642,24193,47737,26496,21241,47737,26496,21241,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,01,0000,District - Gurdaspur  01,Total,9,42289,23158,19131,39197,21604,17593,39197,21604,17593,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,01,0000,District - Gurdaspur  01,Total,10,61193,33369,27824,54926,30198,24728,54926,30198,24728,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,01,0000,District - Gurdaspur  01,Total,11,39446,21190,18256,36406,19742,16664,36406,19742,16664,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,01,0000,District - Gurdaspur  01,Total,12,56213,30188,26025,49290,26779,22511,49290,26779,22511,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,01,0000,District - Gurdaspur  01,Total,13,43822,22482,21340,38015,19792,18223,38015,19792,18223,0,0,0,0,0,0,0,0,0,0,0,0
C3010,03,01,0000,District - Gurdaspur  01,Total,14,48501,25652,22849,39244,21298,17946,39244,21298,17946,0,0,0,0,0,0,0,0,0,0,0,0
