Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,19,00,0000,State - WEST BENGAL  19,Total,All ages,80176197,41465985,38710212,16780202,9049249,7730953,15661835,8355581,7306254,772128,497535,274593,89143,61936,27207,54085,36786,17299,203011,97411,105600
C3010,19,00,0000,State - WEST BENGAL  19,Total,0-4,7616261,3874439,3741822,177297,90409,86888,177297,90409,86888,0,0,0,0,0,0,0,0,0,0,0,0
C3010,19,00,0000,State - WEST BENGAL  19,Total,5,1925525,992603,932922,319780,166420,153360,319780,166420,153360,0,0,0,0,0,0,0,0,0,0,0,0
C3010,19,00,0000,State - WEST BENGAL  19,Total,6,1872436,957138,915298,685569,356390,329179,685569,356390,329179,0,0,0,0,0,0,0,0,0,0,0,0
C3010,19,00,0000,State - WEST BENGAL  19,Total,7,1878621,954547,924074,1325671,685726,639945,1325671,685726,639945,0,0,0,0,0,0,0,0,0,0,0,0
C3010,19,00,0000,State - WEST BENGAL  19,Total,8,2190032,1128703,1061329,1657079,870126,786953,1657079,870126,786953,0,0,0,0,0,0,0,0,0,0,0,0
C3010,19,00,0000,State - WEST BENGAL  19,Total,9,1623994,818134,805860,1335360,682609,652751,1335360,682609,652751,0,0,0,0,0,0,0,0,0,0,0,0
C3010,19,00,0000,State - WEST BENGAL  19,Total,10,2472834,1288022,1184812,1943529,1030303,913226,1943529,1030303,913226,0,0,0,0,0,0,0,0,0,0,0,0
C3010,19,00,0000,State - WEST BENGAL  19,Total,11,1363961,699340,664621,1128148,586746,541402,1128148,586746,541402,0,0,0,0,0,0,0,0,0,0,0,0
C3010,19,00,0000,State - WEST BENGAL  19,Total,12,2343737,1231421,1112316,1730917,928156,802761,1730917,928156,802761,0,0,0,0,0,0,0,0,0,0,0,0
C3010,19,00,0000,State - WEST BENGAL  19,Total,13,1534690,763520,771170,1120891,570474,550417,1120891,570474,550417,0,0,0,0,0,0,0,0,0,0,0,0
C3010,19,00,0000,State - WEST BENGAL  19,Total,14,1823314,932449,890865,1169903,614031,555872,1169903,614031,555872,0,0,0,0,0,0,0,0,0,0,0,0
C3010,19,00,0000,State - WEST BENGAL  19,Total,15-19,7633878,4069305,3564573,3048923,1747364,1301559,2775585,1582213,1193372,230175,137188,92987,15868,11136,4732,17783,12078,5705,9512,4749,4763
C3010,19,00,0000,State - WEST BENGAL  19,Total,20-24,7066173,3570800,3495373,820207,535302,284905,292106,191978,100128,466170,305161,161009,25016,18678,6338,10820,7438,3382,26095,12047,14048
C3010,19,00,0000,State - WEST BENGAL  19,Total,25-29,7051603,3487173,3564430,123761,80633,43128,0,0,0,52137,38472,13665,24316,17416,6900,13710,9773,3937,33598,14972,18626
