Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females
C3010,08,00,0000,State - RAJASTHAN  08,Total,All ages,56507188,29420011,27087177,13357777,8100791,5256986,12339324,7561948,4777376,508839,360834,148005,37947,27626,10321,33671,20999,12672,437996,129384,308612
C3010,08,00,0000,State - RAJASTHAN  08,Total,0-4,7233220,3781055,3452165,198549,109697,88852,198549,109697,88852,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Total,5,1697058,904525,792533,371033,214816,156217,371033,214816,156217,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Total,6,1720724,894036,826688,706015,401416,304599,706015,401416,304599,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Total,7,1445249,758416,686833,1074856,608496,466360,1074856,608496,466360,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Total,8,1993163,1048793,944370,1540300,881605,658695,1540300,881605,658695,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Total,9,1211876,636737,575139,997488,568552,428936,997488,568552,428936,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Total,10,2019681,1075079,944602,1580191,935432,644759,1580191,935432,644759,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Total,11,1024477,551360,473117,838900,499390,339510,838900,499390,339510,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Total,12,1730909,928339,802570,1263460,785336,478124,1263460,785336,478124,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Total,13,1199638,621324,578314,835731,518120,317611,835731,518120,317611,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Total,14,1267236,671316,595920,789447,515815,273632,789447,515815,273632,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Total,15-19,5490214,2987604,2502610,2184516,1509355,675161,1960734,1379291,581443,161986,102891,59095,11750,8397,3353,16906,9658,7248,33140,9118,24022
C3010,08,00,0000,State - RAJASTHAN  08,Total,20-24,4749366,2470943,2278423,600697,403699,196998,182620,143982,38638,300520,220555,79965,12916,9829,3087,8520,5896,2624,96121,23437,72684
C3010,08,00,0000,State - RAJASTHAN  08,Total,25-29,4197223,2127889,2069334,149457,62825,86632,0,0,0,33091,27253,5838,6994,5498,1496,4053,2851,1202,105319,27223,78096
C3010,08,00,0000,State - RAJASTHAN  08,Total,30-34,3821151,1917187,1903964,108361,35116,73245,0,0,0,5448,4267,1181,1985,1316,669,1510,905,605,99418,28628,70790
C3010,08,00,0000,State - RAJASTHAN  08,Total,35-59,11608147,6069259,5538888,107561,44870,62691,0,0,0,4957,3825,1132,3156,1977,1179,1941,1232,709,97507,37836,59671
C3010,08,00,0000,State - RAJASTHAN  08,Total,60+,3810272,1828925,1981347,6856,4109,2747,0,0,0,1100,836,264,862,419,443,445,293,152,4449,2561,1888
C3010,08,00,0000,State - RAJASTHAN  08,Total,Age not stated,287584,147224,140360,4359,2142,2217,0,0,0,1737,1207,530,284,190,94,296,164,132,2042,581,1461
C3010,08,00,0000,State - RAJASTHAN  08,Rural,All ages,43292813,22426640,20866173,9752720,6047938,3704782,9079853,5721163,3358690,209088,177818,31270,14737,10822,3915,17870,10739,7131,431172,127396,303776
C3010,08,00,0000,State - RAJASTHAN  08,Rural,0-4,5832760,3040843,2791917,111450,62942,48508,111450,62942,48508,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Rural,5,1357920,721524,636396,251215,147995,103220,251215,147995,103220,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Rural,6,1396709,723910,672799,544667,314055,230612,544667,314055,230612,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Rural,7,1142370,598992,543378,831593,476443,355150,831593,476443,355150,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Rural,8,1592286,835672,756614,1210401,700448,509953,1210401,700448,509953,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Rural,9,958542,503184,455358,776576,448823,327753,776576,448823,327753,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Rural,10,1591240,843856,747384,1220237,733721,486516,1220237,733721,486516,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Rural,11,779710,420200,359510,623045,379843,243202,623045,379843,243202,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Rural,12,1350367,723565,626802,951012,608754,342258,951012,608754,342258,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Rural,13,917598,477231,440367,607561,394339,213222,607561,394339,213222,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Rural,14,970122,515362,454760,564728,389072,175656,564728,389072,175656,0,0,0,0,0,0,0,0,0,0,0,0
C3010,08,00,0000,State - RAJASTHAN  08,Rural,15-19,4059578,2209368,1850210,1386697,1038108,348589,1274144,968971,305173,66249,51903,14346,3771,2865,906,9862,5396,4466,32671,8973,23698
C3010,08,00,0000,State - RAJASTHAN  08,Rural,20-24,3471786,1778042,1693744,338906,232339,106567,113224,95757,17467,122349,107054,15295,4788,3856,932,3662,2545,1117,94883,23127,71756
C3010,08,00,0000,State - RAJASTHAN  08,Rural,25-29,3109331,1565375,1543956,123942,44625,79317,0,0,0,15702,14558,1144,2572,2040,532,1667,1145,522,104001,26882,77119
C3010,08,00,0000,State - RAJASTHAN  08,Rural,30-34,2852705,1418537,1434168,102467,31704,70763,0,0,0,2426,2217,209,1060,664,396,861,499,362,98120,28324,69796
C3010,08,00,0000,State - RAJASTHAN  08,Rural,35-59,8656673,4485300,4171373,99768,40191,59577,0,0,0,1309,1212,97,1837,1046,791,1279,822,457,95343,37111,58232
